Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
0,0,1,0,0,1,0,0%
10000,1,0,0.26,0.24,0.36,0.14,3.33333%
20000,1,0,0.22,0.2,0.34,0.24,6.66667%
30000,1,0,0.32,0.3,0.14,0.24,10%
40000,0,1,0.28,0.3,0.26,0.16,13.3333%
50000,0,1,0.28,0.3,0.24,0.18,16.6667%
60000,0,1,0.14,0.34,0.28,0.24,20%
70000,0,1,0.2,0.3,0.28,0.22,23.3333%
80000,1,0,0.32,0.34,0.18,0.16,26.6667%
90000,0.1,0.9,0.28,0.26,0.28,0.18,30%
100000,0.1,0.9,0.34,0.26,0.22,0.18,33.3333%
110000,1,0,0.22,0.4,0.18,0.2,36.6667%
120000,0,1,0.12,0.26,0.32,0.3,40%
130000,1,0,0.3,0.3,0.26,0.14,43.3333%
140000,0,1,0.3,0.3,0.2,0.2,46.6667%
150000,0.9,0.1,0.2,0.32,0.26,0.22,50%
160000,1,0,0.22,0.3,0.18,0.3,53.3333%
170000,0.2,0.8,0.26,0.18,0.28,0.28,56.6667%
180000,0,1,0.34,0.28,0.14,0.24,60%
190000,1,0,0.16,0.18,0.26,0.4,63.3333%
200000,0,1,0.26,0.28,0.16,0.3,66.6667%
210000,1,0,0.22,0.32,0.28,0.18,70%
220000,0,1,0.14,0.26,0.24,0.36,73.3333%
230000,0.1,0.9,0.26,0.18,0.28,0.28,76.6667%
240000,0,1,0.22,0.28,0.2,0.3,80%
250000,1,0,0.2,0.32,0.28,0.2,83.3333%
260000,1,0,0.22,0.32,0.2,0.26,86.6667%
270000,1,0,0.28,0.32,0.18,0.22,90%
280000,0,1,0.26,0.2,0.24,0.3,93.3333%
290000,1,0,0.24,0.26,0.3,0.2,96.6667%
300000,0,1,0.26,0.22,0.28,0.24,100%
