Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
0,0,1,0,0,1,0,0%
5000,1,0,0.16,0.26,0.24,0.34,1.66667%
10000,0,1,0.42,0.16,0.28,0.14,3.33333%
15000,0,1,0.18,0.3,0.3,0.22,5%
20000,1,0,0.2,0.28,0.28,0.24,6.66667%
25000,0.1,0.9,0.22,0.2,0.24,0.34,8.33333%
30000,0.3,0.7,0.3,0.24,0.22,0.24,10%
35000,0.9,0.1,0.24,0.26,0.18,0.32,11.6667%
40000,0,1,0.16,0.44,0.22,0.18,13.3333%
45000,1,0,0.32,0.24,0.3,0.14,15%
50000,1,0,0.2,0.3,0.26,0.24,16.6667%
55000,1,0,0.26,0.36,0.16,0.22,18.3333%
60000,0.1,0.9,0.24,0.22,0.32,0.22,20%
65000,0.4,0.6,0.24,0.26,0.16,0.34,21.6667%
70000,0.1,0.9,0.22,0.2,0.32,0.26,23.3333%
75000,0.9,0.1,0.22,0.28,0.26,0.24,25%
80000,1,0,0.34,0.26,0.2,0.2,26.6667%
85000,1,0,0.34,0.16,0.18,0.32,28.3333%
90000,0,1,0.26,0.12,0.36,0.26,30%
95000,0,1,0.22,0.16,0.34,0.28,31.6667%
100000,1,0,0.24,0.34,0.18,0.24,33.3333%
105000,0,1,0.4,0.24,0.14,0.22,35%
110000,0,1,0.34,0.26,0.16,0.24,36.6667%
115000,0.4,0.6,0.24,0.26,0.3,0.2,38.3333%
120000,0,1,0.24,0.18,0.18,0.4,40%
125000,0,1,0.3,0.28,0.2,0.22,41.6667%
130000,0.7,0.3,0.3,0.22,0.28,0.2,43.3333%
135000,1,0,0.32,0.26,0.14,0.28,45%
140000,0.1,0.9,0.3,0.2,0.3,0.2,46.6667%
145000,1,0,0.38,0.16,0.32,0.14,48.3333%
150000,0.5,0.5,0.2,0.26,0.24,0.3,50%
155000,1,0,0.36,0.12,0.26,0.26,51.6667%
160000,0.1,0.9,0.38,0.26,0.18,0.18,53.3333%
165000,1,0,0.24,0.32,0.28,0.16,55%
170000,1,0,0.26,0.32,0.2,0.22,56.6667%
175000,0.1,0.9,0.2,0.24,0.26,0.3,58.3333%
180000,1,0,0.24,0.2,0.3,0.26,60%
185000,0,1,0.16,0.32,0.22,0.3,61.6667%
190000,1,0,0.26,0.16,0.28,0.3,63.3333%
195000,0,1,0.32,0.24,0.24,0.2,65%
200000,0,1,0.28,0.28,0.28,0.16,66.6667%
205000,1,0,0.32,0.3,0.16,0.22,68.3333%
210000,0.1,0.9,0.3,0.28,0.24,0.18,70%
215000,1,0,0.32,0.24,0.18,0.26,71.6667%
220000,1,0,0.18,0.32,0.28,0.22,73.3333%
225000,0,1,0.34,0.24,0.28,0.14,75%
230000,0,1,0.28,0.34,0.14,0.24,76.6667%
235000,1,0,0.24,0.42,0.2,0.14,78.3333%
240000,0.8,0.2,0.24,0.12,0.36,0.28,80%
245000,0.5,0.5,0.24,0.16,0.26,0.34,81.6667%
250000,0.9,0.1,0.26,0.16,0.46,0.12,83.3333%
255000,0.2,0.8,0.4,0.2,0.22,0.18,85%
260000,0,1,0.2,0.22,0.36,0.22,86.6667%
265000,1,0,0.24,0.26,0.3,0.2,88.3333%
270000,0,1,0.26,0.22,0.2,0.32,90%
275000,1,0,0.18,0.24,0.26,0.32,91.6667%
280000,0,1,0.28,0.24,0.2,0.28,93.3333%
285000,1,0,0.2,0.22,0.26,0.32,95%
290000,0,1,0.28,0.26,0.16,0.3,96.6667%
295000,0,1,0.26,0.22,0.24,0.28,98.3333%
300000,1,0,0.28,0.22,0.3,0.2,100%
