Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
0,0,1,0,0,1,0,0%
1000,1,0,0.22,0.24,0.3,0.24,0.333333%
2000,1,0,0.38,0.1,0.24,0.28,0.666667%
3000,0,1,0.22,0.3,0.16,0.32,1%
4000,0,1,0.28,0.28,0.14,0.3,1.33333%
5000,0,1,0.32,0.24,0.24,0.2,1.66667%
6000,1,0,0.26,0.3,0.28,0.16,2%
7000,0,1,0.3,0.2,0.24,0.26,2.33333%
8000,0.1,0.9,0.14,0.28,0.34,0.24,2.66667%
9000,0,1,0.24,0.22,0.24,0.3,3%
10000,0,1,0.36,0.2,0.14,0.3,3.33333%
11000,0,1,0.28,0.22,0.14,0.36,3.66667%
12000,0.8,0.2,0.26,0.28,0.2,0.26,4%
13000,1,0,0.24,0.2,0.3,0.26,4.33333%
14000,0,1,0.26,0.2,0.24,0.3,4.66667%
15000,0.1,0.9,0.32,0.16,0.24,0.28,5%
16000,0,1,0.28,0.22,0.26,0.24,5.33333%
17000,1,0,0.26,0.18,0.2,0.36,5.66667%
18000,1,0,0.38,0.26,0.14,0.22,6%
19000,1,0,0.2,0.34,0.26,0.2,6.33333%
20000,0,1,0.24,0.26,0.26,0.24,6.66667%
21000,1,0,0.24,0.28,0.26,0.22,7%
22000,1,0,0.16,0.2,0.38,0.26,7.33333%
23000,0.8,0.2,0.2,0.2,0.34,0.26,7.66667%
24000,0,1,0.3,0.2,0.28,0.22,8%
25000,1,0,0.28,0.28,0.16,0.28,8.33333%
26000,1,0,0.16,0.24,0.28,0.32,8.66667%
27000,0.3,0.7,0.24,0.14,0.34,0.28,9%
28000,0,1,0.26,0.28,0.3,0.16,9.33333%
29000,0.4,0.6,0.24,0.26,0.18,0.32,9.66667%
30000,0,1,0.18,0.24,0.36,0.22,10%
31000,0,1,0.3,0.24,0.2,0.26,10.3333%
32000,0,1,0.36,0.24,0.18,0.22,10.6667%
33000,1,0,0.22,0.24,0.24,0.3,11%
34000,0,1,0.2,0.42,0.16,0.22,11.3333%
35000,0,1,0.28,0.2,0.28,0.24,11.6667%
36000,0.6,0.4,0.22,0.3,0.22,0.26,12%
37000,0.6,0.4,0.22,0.26,0.22,0.3,12.3333%
38000,0,1,0.2,0.34,0.28,0.18,12.6667%
39000,1,0,0.22,0.2,0.18,0.4,13%
