Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,b,c,f,h,a,B,playerExplorationProbability,umpireExplorationProbability,imitationStrength,Completion
0,0,1,0,0,1,0,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
50,0.4,0.6,0.12,0.12,0.68,0.08,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
100,0.4,0.6,0.2,0.22,0.44,0.14,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
150,0.5,0.5,0.3,0.22,0.32,0.16,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
200,0.6,0.4,0.16,0.24,0.38,0.22,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
250,0.5,0.5,0.14,0.28,0.34,0.24,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
300,0.4,0.6,0.26,0.22,0.14,0.38,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
350,0.6,0.4,0.28,0.18,0.2,0.34,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
400,0.7,0.3,0.16,0.28,0.18,0.38,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
450,0.6,0.4,0.16,0.28,0.28,0.28,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
500,0.5,0.5,0.22,0.22,0.28,0.28,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
550,0.5,0.5,0.34,0.14,0.22,0.3,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
600,0.5,0.5,0.22,0.16,0.28,0.34,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
650,0.4,0.6,0.26,0.22,0.22,0.3,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
700,0.4,0.6,0.26,0.28,0.28,0.18,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
750,0.4,0.6,0.3,0.24,0.28,0.18,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
800,0.4,0.6,0.34,0.18,0.32,0.16,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
850,0.4,0.6,0.26,0.12,0.4,0.22,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
900,0.1,0.9,0.34,0.16,0.36,0.14,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
950,0.4,0.6,0.28,0.2,0.34,0.18,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1000,0.3,0.7,0.24,0.26,0.3,0.2,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1050,0.7,0.3,0.3,0.3,0.16,0.24,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1100,0.4,0.6,0.24,0.32,0.18,0.26,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1150,0.4,0.6,0.32,0.24,0.18,0.26,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1200,0.5,0.5,0.34,0.2,0.22,0.24,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1250,0.6,0.4,0.3,0.22,0.22,0.26,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1300,0.5,0.5,0.28,0.16,0.26,0.3,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1350,0.5,0.5,0.24,0.18,0.28,0.3,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1400,0.2,0.8,0.2,0.22,0.32,0.26,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1450,0.6,0.4,0.24,0.26,0.26,0.24,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1500,0.5,0.5,0.3,0.28,0.26,0.16,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
1550,0.5,0.5,0.2,0.32,0.24,0.24,1,0.5,0.5,0.1,2,0.2,0.001,0.005,1e+10
