Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
0,0,1,0,0,1,0,0%
1000,0,1,0.16,0.28,0.3,0.26,0.333333%
2000,0,1,0.22,0.28,0.26,0.24,0.666667%
3000,1,0,0.24,0.28,0.26,0.22,1%
4000,0,1,0.2,0.22,0.34,0.24,1.33333%
5000,0,1,0.38,0.24,0.14,0.24,1.66667%
6000,1,0,0.3,0.16,0.26,0.28,2%
7000,0,1,0.34,0.24,0.18,0.24,2.33333%
8000,0.6,0.4,0.2,0.26,0.28,0.26,2.66667%
9000,0.9,0.1,0.24,0.32,0.26,0.18,3%
10000,0.8,0.2,0.16,0.3,0.2,0.34,3.33333%
11000,1,0,0.2,0.18,0.26,0.36,3.66667%
12000,0.9,0.1,0.36,0.28,0.16,0.2,4%
13000,1,0,0.18,0.18,0.32,0.32,4.33333%
14000,1,0,0.14,0.4,0.2,0.26,4.66667%
15000,1,0,0.32,0.28,0.2,0.2,5%
16000,1,0,0.2,0.2,0.36,0.24,5.33333%
17000,1,0,0.2,0.34,0.18,0.28,5.66667%
18000,0,1,0.3,0.18,0.32,0.2,6%
19000,0.3,0.7,0.2,0.34,0.28,0.18,6.33333%
20000,0,1,0.28,0.24,0.28,0.2,6.66667%
21000,0.9,0.1,0.24,0.24,0.32,0.2,7%
22000,0,1,0.3,0.22,0.28,0.2,7.33333%
23000,0,1,0.2,0.22,0.32,0.26,7.66667%
24000,0,1,0.2,0.24,0.28,0.28,8%
25000,0,1,0.3,0.2,0.2,0.3,8.33333%
26000,1,0,0.22,0.32,0.3,0.16,8.66667%
27000,1,0,0.26,0.28,0.2,0.26,9%
28000,1,0,0.3,0.1,0.38,0.22,9.33333%
29000,1,0,0.3,0.18,0.24,0.28,9.66667%
30000,1,0,0.2,0.24,0.18,0.38,10%
31000,1,0,0.3,0.3,0.18,0.22,10.3333%
32000,0,1,0.26,0.18,0.34,0.22,10.6667%
33000,1,0,0.2,0.2,0.34,0.26,11%
34000,0,1,0.22,0.26,0.28,0.24,11.3333%
35000,1,0,0.28,0.24,0.34,0.14,11.6667%
36000,1,0,0.2,0.22,0.3,0.28,12%
37000,0.6,0.4,0.16,0.2,0.34,0.3,12.3333%
38000,0.1,0.9,0.24,0.32,0.18,0.26,12.6667%
39000,0,1,0.28,0.2,0.34,0.18,13%
40000,0.7,0.3,0.34,0.2,0.22,0.24,13.3333%
41000,1,0,0.22,0.2,0.18,0.4,13.6667%
42000,1,0,0.3,0.26,0.26,0.18,14%
43000,1,0,0.2,0.28,0.28,0.24,14.3333%
44000,1,0,0.3,0.2,0.34,0.16,14.6667%
45000,1,0,0.18,0.2,0.18,0.44,15%
46000,1,0,0.24,0.24,0.24,0.28,15.3333%
47000,0,1,0.34,0.18,0.26,0.22,15.6667%
48000,0,1,0.28,0.2,0.3,0.22,16%
49000,0,1,0.22,0.32,0.14,0.32,16.3333%
50000,0,1,0.18,0.12,0.38,0.32,16.6667%
51000,1,0,0.2,0.22,0.28,0.3,17%
52000,0,1,0.18,0.22,0.22,0.38,17.3333%
53000,0.9,0.1,0.12,0.38,0.32,0.18,17.6667%
54000,0,1,0.28,0.2,0.28,0.24,18%
55000,0,1,0.28,0.14,0.28,0.3,18.3333%
56000,0.8,0.2,0.3,0.24,0.14,0.32,18.6667%
57000,1,0,0.18,0.24,0.32,0.26,19%
58000,0,1,0.3,0.22,0.22,0.26,19.3333%
59000,0,1,0.14,0.28,0.22,0.36,19.6667%
60000,1,0,0.22,0.28,0.22,0.28,20%
61000,0,1,0.28,0.28,0.24,0.2,20.3333%
62000,0.7,0.3,0.32,0.34,0.16,0.18,20.6667%
63000,0,1,0.3,0.22,0.32,0.16,21%
64000,1,0,0.34,0.24,0.22,0.2,21.3333%
65000,1,0,0.28,0.34,0.18,0.2,21.6667%
66000,0.7,0.3,0.24,0.26,0.26,0.24,22%
67000,0,1,0.28,0.32,0.16,0.24,22.3333%
68000,0.6,0.4,0.28,0.3,0.2,0.22,22.6667%
69000,0,1,0.18,0.28,0.28,0.26,23%
70000,1,0,0.32,0.22,0.16,0.3,23.3333%
71000,0.3,0.7,0.26,0.24,0.22,0.28,23.6667%
72000,1,0,0.28,0.26,0.24,0.22,24%
73000,0,1,0.26,0.3,0.22,0.22,24.3333%
74000,0,1,0.22,0.28,0.24,0.26,24.6667%
75000,0,1,0.28,0.24,0.26,0.22,25%
76000,0,1,0.24,0.28,0.22,0.26,25.3333%
77000,0.8,0.2,0.22,0.16,0.36,0.26,25.6667%
78000,1,0,0.3,0.22,0.18,0.3,26%
79000,0,1,0.14,0.3,0.28,0.28,26.3333%
80000,0.2,0.8,0.18,0.2,0.36,0.26,26.6667%
81000,0,1,0.22,0.18,0.34,0.26,27%
82000,1,0,0.22,0.2,0.24,0.34,27.3333%
83000,0,1,0.18,0.24,0.3,0.28,27.6667%
84000,0,1,0.3,0.26,0.12,0.32,28%
85000,0,1,0.36,0.2,0.22,0.22,28.3333%
86000,0.2,0.8,0.22,0.26,0.32,0.2,28.6667%
87000,0.4,0.6,0.12,0.18,0.3,0.4,29%
88000,0,1,0.22,0.26,0.32,0.2,29.3333%
89000,1,0,0.26,0.24,0.34,0.16,29.6667%
90000,0,1,0.16,0.2,0.34,0.3,30%
91000,1,0,0.28,0.28,0.22,0.22,30.3333%
92000,0.9,0.1,0.28,0.26,0.2,0.26,30.6667%
93000,0,1,0.2,0.28,0.3,0.22,31%
94000,1,0,0.28,0.26,0.28,0.18,31.3333%
95000,0.7,0.3,0.16,0.38,0.14,0.32,31.6667%
96000,1,0,0.32,0.16,0.34,0.18,32%
97000,1,0,0.18,0.38,0.28,0.16,32.3333%
98000,0.7,0.3,0.2,0.28,0.28,0.24,32.6667%
99000,0,1,0.22,0.3,0.26,0.22,33%
100000,1,0,0.24,0.24,0.28,0.24,33.3333%
101000,0,1,0.32,0.24,0.2,0.24,33.6667%
102000,1,0,0.28,0.12,0.3,0.3,34%
103000,1,0,0.22,0.24,0.26,0.28,34.3333%
104000,0,1,0.3,0.22,0.28,0.2,34.6667%
105000,0.3,0.7,0.38,0.28,0.2,0.14,35%
106000,0,1,0.28,0.3,0.26,0.16,35.3333%
107000,1,0,0.22,0.36,0.22,0.2,35.6667%
108000,1,0,0.38,0.22,0.28,0.12,36%
109000,0.8,0.2,0.32,0.18,0.32,0.18,36.3333%
110000,0,1,0.28,0.28,0.26,0.18,36.6667%
111000,1,0,0.36,0.26,0.2,0.18,37%
112000,0.5,0.5,0.16,0.24,0.18,0.42,37.3333%
113000,1,0,0.36,0.22,0.16,0.26,37.6667%
114000,0.8,0.2,0.14,0.22,0.26,0.38,38%
115000,0,1,0.28,0.16,0.26,0.3,38.3333%
116000,1,0,0.34,0.3,0.14,0.22,38.6667%
117000,1,0,0.34,0.26,0.22,0.18,39%
118000,1,0,0.3,0.14,0.26,0.3,39.3333%
119000,0.1,0.9,0.18,0.16,0.28,0.38,39.6667%
120000,0,1,0.28,0.24,0.12,0.36,40%
121000,1,0,0.34,0.18,0.22,0.26,40.3333%
122000,1,0,0.2,0.38,0.1,0.32,40.6667%
123000,0,1,0.38,0.18,0.2,0.24,41%
124000,0.8,0.2,0.38,0.24,0.2,0.18,41.3333%
125000,1,0,0.26,0.3,0.2,0.24,41.6667%
126000,0.4,0.6,0.2,0.2,0.34,0.26,42%
127000,1,0,0.26,0.2,0.28,0.26,42.3333%
128000,0,1,0.28,0.28,0.22,0.22,42.6667%
129000,1,0,0.2,0.28,0.2,0.32,43%
130000,0,1,0.26,0.26,0.24,0.24,43.3333%
131000,1,0,0.36,0.18,0.2,0.26,43.6667%
132000,0.2,0.8,0.32,0.16,0.24,0.28,44%
133000,0,1,0.32,0.12,0.24,0.32,44.3333%
134000,0,1,0.18,0.2,0.26,0.36,44.6667%
135000,0,1,0.18,0.26,0.26,0.3,45%
